Transaction_ID,Date,Category,Type,Merchant,Amount,Payment_Method,Status,Description
TXN100082,2024-01-03,Freelance,Income,Client B,1479.57,Cash,Pending,Income - Freelance at Client B
TXN100098,2024-01-04,Shopping,Expense,Amazon,-76.13,Debit Card,Completed,Expense - Shopping at Amazon
TXN100076,2024-01-07,Insurance,Expense,Auto Insurance Co,-223.86,Debit Card,Completed,Expense - Insurance at Auto Insurance Co
TXN100070,2024-01-13,Freelance,Income,Client B,925.99,Credit Card,Completed,Income - Freelance at Client B
TXN100019,2024-01-22,Travel,Expense,Travel Agency,-1205.52,Bank Transfer,Completed,Expense - Travel at Travel Agency
TXN100068,2024-01-24,Gift,Income,Generic Merchant,163.79,Cash,Completed,Income - Gift at Generic Merchant
TXN100088,2024-01-30,Savings,Expense,Savings Account,-760.51,Mobile Payment,Completed,Expense - Savings at Savings Account
TXN100064,2024-02-01,Groceries,Expense,Walmart,-103.68,Credit Card,Completed,Expense - Groceries at Walmart
TXN100025,2024-02-07,Miscellaneous,Expense,Generic Merchant,-86.09,Credit Card,Completed,Expense - Miscellaneous at Generic Merchant
TXN100039,2024-02-10,Utilities,Expense,Gas Company,-75.25,Bank Transfer,Completed,Expense - Utilities at Gas Company
TXN100037,2024-02-13,Refund,Income,Generic Merchant,178.87,Mobile Payment,Failed,Income - Refund at Generic Merchant
TXN100089,2024-02-14,Investment Income,Income,Dividend Payment,176.84,Bank Transfer,Completed,Income - Investment Income at Dividend Payment
TXN100008,2024-02-19,Rent,Expense,Generic Merchant,-1224.34,Credit Card,Completed,Expense - Rent at Generic Merchant
TXN100009,2024-02-19,Miscellaneous,Expense,Generic Merchant,-30.52,Credit Card,Completed,Expense - Miscellaneous at Generic Merchant
TXN100029,2024-02-20,Shopping,Expense,Clothing Store,-109.35,Mobile Payment,Completed,Expense - Shopping at Clothing Store
TXN100049,2024-02-20,Debt Payment,Expense,Loan Payment,-446.16,Mobile Payment,Completed,Expense - Debt Payment at Loan Payment
TXN100031,2024-02-23,Shopping,Expense,Clothing Store,-82.66,Cash,Pending,Expense - Shopping at Clothing Store
TXN100062,2024-02-26,Savings,Expense,Investment Account,-412.6,Debit Card,Completed,Expense - Savings at Investment Account
TXN100057,2024-02-28,Entertainment,Expense,Spotify,-65.25,Debit Card,Completed,Expense - Entertainment at Spotify
TXN100083,2024-02-29,Groceries,Expense,Kroger,-43.28,Bank Transfer,Completed,Expense - Groceries at Kroger
TXN100027,2024-03-01,Savings,Expense,Investment Account,-826.01,Debit Card,Completed,Expense - Savings at Investment Account
TXN100056,2024-03-07,Salary,Income,Organization XYZ,2609.46,Cash,Completed,Income - Salary at Organization XYZ
TXN100059,2024-03-11,Insurance,Expense,Health Insurance Co,-369.83,Debit Card,Completed,Expense - Insurance at Health Insurance Co
TXN100001,2024-03-15,Transportation,Expense,Public Transit,-93.09,Mobile Payment,Completed,Expense - Transportation at Public Transit
TXN100092,2024-03-18,Rent,Expense,Generic Merchant,-1232.18,Debit Card,Completed,Expense - Rent at Generic Merchant
TXN100043,2024-03-21,Miscellaneous,Expense,Generic Merchant,-95.47,Cash,Completed,Expense - Miscellaneous at Generic Merchant
TXN100063,2024-03-25,Gift,Income,Generic Merchant,83.63,Bank Transfer,Completed,Income - Gift at Generic Merchant
TXN100014,2024-03-26,Miscellaneous,Expense,Generic Merchant,-30.97,Credit Card,Pending,Expense - Miscellaneous at Generic Merchant
TXN100012,2024-03-30,Dining Out,Expense,McDonalds,-55.83,Mobile Payment,Completed,Expense - Dining Out at McDonalds
TXN100013,2024-03-31,Entertainment,Expense,Netflix,-142.64,Cash,Completed,Expense - Entertainment at Netflix
TXN100078,2024-04-04,Investment Income,Income,Interest Payment,190.73,Mobile Payment,Completed,Income - Investment Income at Interest Payment
TXN100046,2024-04-08,Groceries,Expense,Kroger,-91.06,Cash,Completed,Expense - Groceries at Kroger
TXN100034,2024-04-20,Gift,Income,Generic Merchant,95.88,Credit Card,Completed,Income - Gift at Generic Merchant
TXN100095,2024-04-22,Refund,Income,Generic Merchant,122.5,Mobile Payment,Completed,Income - Refund at Generic Merchant
TXN100033,2024-05-06,Transportation,Expense,Shell Gas,-87.62,Debit Card,Completed,Expense - Transportation at Shell Gas
TXN100005,2024-05-15,Savings,Expense,Investment Account,-351.0,Mobile Payment,Completed,Expense - Savings at Investment Account
TXN100035,2024-05-20,Freelance,Income,Freelance Platform,598.17,Bank Transfer,Completed,Income - Freelance at Freelance Platform
TXN100044,2024-05-22,Miscellaneous,Expense,Generic Merchant,-17.97,Cash,Completed,Expense - Miscellaneous at Generic Merchant
TXN100084,2024-05-30,Shopping,Expense,Clothing Store,-48.42,Bank Transfer,Completed,Expense - Shopping at Clothing Store
TXN100041,2024-06-01,Subscriptions,Expense,Streaming Service,-23.26,Mobile Payment,Completed,Expense - Subscriptions at Streaming Service
TXN100065,2024-06-05,Groceries,Expense,Whole Foods,-133.48,Bank Transfer,Completed,Expense - Groceries at Whole Foods
TXN100017,2024-06-06,Investment Income,Income,Interest Payment,313.7,Credit Card,Completed,Income - Investment Income at Interest Payment
TXN100099,2024-06-09,Healthcare,Expense,Dentist,-102.93,Bank Transfer,Completed,Expense - Healthcare at Dentist
TXN100045,2024-06-10,Insurance,Expense,Auto Insurance Co,-466.66,Credit Card,Completed,Expense - Insurance at Auto Insurance Co
TXN100075,2024-06-15,Debt Payment,Expense,Mortgage Payment,-199.45,Cash,Completed,Expense - Debt Payment at Mortgage Payment
TXN100077,2024-06-18,Freelance,Income,Client A,1322.84,Cash,Failed,Income - Freelance at Client A
TXN100100,2024-06-20,Shopping,Expense,Clothing Store,-73.38,Bank Transfer,Completed,Expense - Shopping at Clothing Store
TXN100080,2024-06-22,Insurance,Expense,Life Insurance Co,-453.96,Cash,Completed,Expense - Insurance at Life Insurance Co
